27-08-2025 09:55:14 | CPU: 4% | Memory Available: 100% | Status: OK
27-08-2025 09:56:06 | CPU: 1.1% | Memory Available: 100% | Status: OK
27-08-2025 09:56:47 | CPU: 1.1% | Memory Available: 100% | Status: OK
27-08-2025 09:57:37 | CPU: 1.1% | Memory Available: 100% | Status: OK
27-08-2025 09:58:39 | CPU: 1.2% | Memory Available: 100% | Status: OK
27-08-2025 09:59:48 | CPU: 2% | Memory Available: 100% | Status: OK
27-08-2025 10:00:54 | CPU: 100% | Memory Available: 100% | Status: High CPU usage: 100%
27-08-2025 10:01:19 | CPU: 1% | Memory Available: 100% | Status: OK
27-08-2025 10:01:21 | CPU: 1% | Memory Available: 100% | Status: OK
27-08-2025 10:01:22 | CPU: 1% | Memory Available: 100% | Status: OK
27-08-2025 10:01:23 | CPU: 1% | Memory Available: 100% | Status: OK
27-08-2025 10:01:24 | CPU: 1% | Memory Available: 100% | Status: OK
27-08-2025 10:01:26 | CPU: 1% | Memory Available: 100% | Status: OK
